province_name,region,fiscal_year,fiscal_month,ym,so_don,tong_sl,tong_dt,so_dai_ly,dt_tb_dai_ly
Ninh Bình,Miền Bắc,2026,2,2026-02,22,851.0,1337167365.0,12,111430614.0
Phan Thiết,Miền Bắc,2025,1,2025-01,1,2.0,4055556.0,1,4055556.0
Phú Quốc,Miền Bắc,2025,1,2025-01,1,60.0,153703695.0,1,153703695.0
Phú Quốc,Miền Bắc,2026,1,2026-01,1,30.0,61250010.0,1,61250010.0
Phú Thọ,Miền Bắc,2025,1,2025-01,2,43.0,57720000.0,2,28860000.0
Phú Thọ,Miền Bắc,2025,2,2025-02,1,20.0,23330000.0,1,23330000.0
Phú Thọ,Miền Bắc,2025,3,2025-03,9,228.0,268940199.0,8,33617525.0
Phú Thọ,Miền Bắc,2026,1,2026-01,23,379.0,688646151.0,21,32792674.0
Phú Thọ,Miền Bắc,2026,2,2026-02,6,122.0,207658652.0,5,41531730.0
Phố Kiểu - Yên Trường - Yên Định - Thanh Hoá,Miền Bắc,2025,2,2025-02,1,16.0,22550000.0,1,22550000.0
Phủ Lý,Miền Bắc,2026,1,2026-01,1,15.0,24511106.0,1,24511106.0
Phủ Lý,Miền Bắc,2026,2,2026-02,2,46.0,75661092.0,1,75661092.0
Quảng Nam,Miền Trung,2025,1,2025-01,1,4.0,18111112.0,1,18111112.0
Quảng Nam,Miền Trung,2025,2,2025-02,1,81.0,128609691.0,1,128609691.0
Quảng Nam,Miền Trung,2025,3,2025-03,2,68.0,108069244.0,1,108069244.0
Quảng Nam,Miền Trung,2026,1,2026-01,4,158.0,265356055.0,1,265356055.0
Quảng Nam,Miền Trung,2026,2,2026-02,1,123.0,204911072.0,1,204911072.0
Quảng Ngãi,Miền Trung,2025,2,2025-02,1,20.0,22940000.0,1,22940000.0
Quảng Ngãi,Miền Trung,2026,1,2026-01,2,30.0,41689436.0,2,20844718.0
Quảng Ngãi,Miền Trung,2026,2,2026-02,1,11.0,17471666.0,1,17471666.0
Quảng Ninh,Miền Bắc,2025,3,2025-03,5,148.0,185177574.0,5,37035515.0
Quảng Ninh,Miền Bắc,2026,1,2026-01,13,332.0,609410215.0,13,46877709.0
Quảng Ninh,Miền Bắc,2026,2,2026-02,5,134.0,214794755.0,5,42958951.0
Quảng NinhSố,Miền Bắc,2025,3,2025-03,1,13.0,13870000.0,1,13870000.0
Quảng Trị,Miền Trung,2025,1,2025-01,1,30.0,36730000.0,1,36730000.0
Quảng Trị,Miền Trung,2025,3,2025-03,3,48.0,57180000.0,1,57180000.0
Quảng Trị,Miền Trung,2026,1,2026-01,4,79.0,131572376.0,4,32893094.0
Quảng Trị,Miền Trung,2026,2,2026-02,3,49.0,87806095.0,2,43903048.0
Sơn La,Miền Bắc,2025,3,2025-03,2,45.0,52190000.0,2,26095000.0
Sầm Sơn,Miền Bắc,2026,1,2026-01,1,28.0,41074343.0,1,41074343.0
Sầm Sơn,Miền Bắc,2026,2,2026-02,2,52.0,75982195.0,1,75982195.0
TP Huế,Miền Bắc,2026,1,2026-01,1,19.0,29326009.0,1,29326009.0
TP Huế,Miền Bắc,2026,2,2026-02,1,14.0,16196656.0,1,16196656.0
TP Hưng Yên,Miền Bắc,2025,3,2025-03,1,22.0,27978500.0,1,27978500.0
TP Hải Dương,Miền Bắc,2025,2,2025-02,1,20.0,24000000.0,1,24000000.0
TP Hải Phòng,Miền Bắc,2025,3,2025-03,2,46.0,52103683.0,1,52103683.0
TP Hải Phòng,Miền Bắc,2026,1,2026-01,10,218.0,353537143.0,8,44192143.0
TP Hải Phòng,Miền Bắc,2026,2,2026-02,20,425.0,672567234.0,8,84070904.0
TP Đà Nẵng,Miền Bắc,2025,1,2025-01,1,2.0,2360000.0,1,2360000.0
TP Đà Nẵng,Miền Bắc,2025,2,2025-02,2,24.0,28290000.0,1,28290000.0
TP Đà Nẵng,Miền Bắc,2026,1,2026-01,2,21.0,37466661.0,2,18733330.0
TP Đà Nẵng,Miền Bắc,2026,2,2026-02,2,7.0,18175925.0,2,9087962.0
TP. Hồ Chí Minh,Miền Nam,2025,1,2025-01,14,365.0,631592117.0,2,315796058.0
TP. Hồ Chí Minh,Miền Nam,2025,2,2025-02,17,296.0,482038937.0,3,160679646.0
TP. Hồ Chí Minh,Miền Nam,2025,3,2025-03,11,398.0,745306919.0,2,372653460.0
TP. Hồ Chí Minh,Miền Nam,2026,1,2026-01,46,800.0,1831166932.0,2,915583466.0
TP. Hồ Chí Minh,Miền Nam,2026,2,2026-02,37,615.0,1034566270.0,2,517283135.0
TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,2025,1,2025-01,1,20.0,23350000.0,1,23350000.0
Tam Kỳ,Miền Bắc,2025,1,2025-01,1,26.0,29250000.0,1,29250000.0
Tam Kỳ,Miền Bắc,2026,1,2026-01,1,30.0,47775542.0,1,47775542.0
Thanh Hoá,Miền Trung,2025,1,2025-01,1,6.0,13277778.0,1,13277778.0
Thanh Hoá,Miền Trung,2025,2,2025-02,10,212.0,246270000.0,8,30783750.0
Thanh Hoá,Miền Trung,2025,3,2025-03,17,510.0,597319462.0,10,59731946.0
Thanh Hoá,Miền Trung,2026,1,2026-01,8,174.0,282050392.0,6,47008399.0
Thanh Hoá,Miền Trung,2026,2,2026-02,3,85.0,124796899.0,3,41598966.0
Thanh Hóa,Miền Trung,2025,1,2025-01,2,8.0,18842593.0,2,9421296.0
Thanh Hóa,Miền Trung,2025,2,2025-02,5,207.0,254475286.0,5,50895057.0
Thanh Hóa,Miền Trung,2025,3,2025-03,6,217.0,293904075.0,4,73476019.0
Thanh Hóa,Miền Trung,2026,1,2026-01,27,957.0,1583962470.0,21,75426784.0
Thanh Hóa,Miền Trung,2026,2,2026-02,23,807.0,1301274513.0,15,86751634.0
Thái Bình,Miền Bắc,2025,2,2025-02,2,69.0,75890000.0,2,37945000.0
Thái Bình,Miền Bắc,2025,3,2025-03,5,207.0,240940000.0,3,80313333.0
Thái Bình,Miền Bắc,2026,1,2026-01,3,88.0,165018306.0,2,82509153.0
Thái Bình,Miền Bắc,2026,2,2026-02,6,145.0,228616057.0,3,76205352.0
Thái Nguyên,Miền Bắc,2025,1,2025-01,2,57.0,49454444.0,2,24727222.0
Thái Nguyên,Miền Bắc,2025,2,2025-02,2,97.0,122850319.0,2,61425160.0
Thái Nguyên,Miền Bắc,2025,3,2025-03,6,225.0,269735148.0,3,89911716.0
