line_name,group_code,fiscal_year,fiscal_month,ym,tong_sl,tong_dt,so_don
Xe GN 06-27 2.0,CITYBIKE_P,2025,1,2025-01,10.0,12700000.0,3
Xe GN 06-27 2.0,CITYBIKE_P,2025,2,2025-02,31.0,39755092.0,14
Xe GN 06-27 2.0,CITYBIKE_P,2025,3,2025-03,198.0,253506480.0,40
Xe GN 06-27 2.0 Pro,SPORTBIKE_S,2025,1,2025-01,4.0,9288148.0,2
Xe GN 06-27 2.0 Pro,SPORTBIKE_S,2025,2,2025-02,1.0,1320000.0,1
Xe GN 06-27 2.0 Pro,SPORTBIKE_S,2025,3,2025-03,17.0,24391296.0,6
Xe GN 06-27 2.0 Pro Shimano,SPORTBIKE_S,2025,3,2025-03,3.0,7195500.0,2
"Xe GRX AT 27,5_2.0",SPORTBIKE_A,2025,1,2025-01,2.0,14981481.0,1
"Xe GRX AT 27,5_2.0",SPORTBIKE_A,2025,2,2025-02,15.0,67881481.0,8
"Xe GRX AT 27,5_2.0",SPORTBIKE_A,2025,3,2025-03,27.0,74981482.0,14
Xe Highway 27.5,SPORTBIKE_S,2025,1,2025-01,5.0,7250000.0,1
Xe Highway 27.5,SPORTBIKE_S,2025,2,2025-02,19.0,31306942.0,11
Xe Highway 27.5,SPORTBIKE_S,2025,3,2025-03,68.0,101104630.0,16
Xe Highway 27.5,SPORTBIKE_S,2026,1,2026-01,21.0,58757407.0,12
Xe Highway 27.5,SPORTBIKE_S,2026,2,2026-02,5.0,15021851.0,4
Xe LD 24-01_2023,CITYBIKE_P,2025,1,2025-01,55.0,109066667.0,14
Xe LD 24-01_2023,CITYBIKE_P,2025,2,2025-02,302.0,412092591.0,60
Xe LD 24-01_2023,CITYBIKE_P,2025,3,2025-03,903.0,1141071850.0,165
Xe LD 24-01_2023,CITYBIKE_P,2026,1,2026-01,664.0,1113985996.0,137
Xe LD 24-01_2023,CITYBIKE_P,2026,2,2026-02,513.0,835339680.0,120
Xe LD 24-02,CITYBIKE_P,2025,2,2025-02,1.0,1200000.0,1
Xe LD 24-02,CITYBIKE_P,2025,3,2025-03,38.0,70169813.0,12
Xe LD 26,CITYBIKE_P,2025,3,2025-03,5.0,9717500.0,2
Xe LD 26,CITYBIKE_P,2026,1,2026-01,568.0,1000616131.0,130
Xe LD 26,CITYBIKE_P,2026,2,2026-02,590.0,1051916611.0,145
Xe Love 12,KIDBIKE_2,2025,1,2025-01,33.0,33320832.0,10
Xe Love 12,KIDBIKE_2,2025,2,2025-02,30.0,20698240.0,11
Xe Love 12,KIDBIKE_2,2025,3,2025-03,46.0,38797131.0,18
Xe Love 12,KIDBIKE_2,2026,1,2026-01,24.0,23673421.0,10
Xe Love 12,KIDBIKE_2,2026,2,2026-02,68.0,69005728.0,15
Xe Love 16,KIDBIKE_2,2025,1,2025-01,18.0,15969721.0,9
Xe Love 16,KIDBIKE_2,2025,2,2025-02,74.0,45870555.0,13
Xe Love 16,KIDBIKE_2,2025,3,2025-03,44.0,38473887.0,21
Xe Love 16,KIDBIKE_2,2026,1,2026-01,91.0,87896840.0,30
Xe Love 16,KIDBIKE_2,2026,2,2026-02,78.0,71395620.0,19
Xe M 27-01,CITYBIKE_P,2025,3,2025-03,5.0,6250000.0,1
Xe M2601,SPORTBIKE_S,2025,1,2025-01,67.0,160383605.0,12
Xe M2601,SPORTBIKE_S,2025,2,2025-02,27.0,39385276.0,18
Xe M2601,SPORTBIKE_S,2025,3,2025-03,56.0,137923056.0,21
Xe M2601 Shimano,SPORTBIKE_S,2025,3,2025-03,69.0,183436500.0,18
Xe MTB 20-04,KIDBIKE_1,2025,1,2025-01,27.0,61872676.0,5
Xe MTB 20-04,KIDBIKE_1,2025,2,2025-02,3.0,5881944.0,1
Xe MTB 20-04,KIDBIKE_1,2025,3,2025-03,60.0,66000000.0,1
Xe MTB 20-05,KIDBIKE_1,2025,1,2025-01,104.0,186754167.0,2
Xe MTB 20-05,KIDBIKE_1,2025,2,2025-02,88.0,118204166.0,23
Xe MTB 20-05,KIDBIKE_1,2025,3,2025-03,364.0,404133330.0,80
Xe MTB 24-03,CITYBIKE_P,2025,1,2025-01,19.0,34824999.0,10
Xe MTB 24-03,CITYBIKE_P,2025,2,2025-02,121.0,156063239.0,47
Xe MTB 24-03,CITYBIKE_P,2025,3,2025-03,460.0,578144902.0,130
Xe MTB 24-04,SPORTBIKE_S,2025,1,2025-01,15.0,24441204.0,3
Xe MTB 24-04,SPORTBIKE_S,2025,3,2025-03,4.0,6600924.0,2
Xe MTB 26 02,CITYBIKE_P,2025,1,2025-01,111.0,198774536.0,6
Xe MTB 26 02,CITYBIKE_P,2025,2,2025-02,195.0,256024074.0,48
Xe MTB 26 02,CITYBIKE_P,2025,3,2025-03,469.0,598203705.0,119
Xe MTB 26 02,CITYBIKE_P,2026,1,2026-01,371.0,687763423.0,98
Xe MTB 26 02,CITYBIKE_P,2026,2,2026-02,375.0,667406882.0,110
Xe MTB 26-05_2023,SPORTBIKE_S,2025,1,2025-01,4.0,7779630.0,3
Xe MTB 26-05_2023,SPORTBIKE_S,2025,2,2025-02,26.0,39850925.0,12
Xe MTB 26-05_2023,SPORTBIKE_S,2025,3,2025-03,96.0,128019444.0,19
Xe MTB 26-05_2023,SPORTBIKE_S,2026,1,2026-01,24.0,57786648.0,8
Xe MTB 26-05_2023,SPORTBIKE_S,2026,2,2026-02,3.0,7181664.0,2
Xe MTB 26-07,SPORTBIKE_S,2025,1,2025-01,155.0,401851851.0,1
Xe MTB Cyber 27.5,SPORTBIKE_A,2025,1,2025-01,1.0,4066667.0,1
Xe MTB Cyber 27.5,SPORTBIKE_A,2025,2,2025-02,2.0,6007576.0,1
Xe MTB Cyber 27.5,SPORTBIKE_A,2025,3,2025-03,4.0,12315528.0,3
Xe MTB Cyber 27.5 2024,SPORTBIKE_A,2025,1,2025-01,1.0,4066667.0,1
Xe MTB Cyber 27.5 2024,SPORTBIKE_A,2025,2,2025-02,16.0,48360973.0,8
Xe MTB Cyber 27.5 2024,SPORTBIKE_A,2025,3,2025-03,35.0,105733304.0,20
Xe MTB SPD 27.5,SPORTBIKE_A,2025,1,2025-01,25.0,75950001.0,3
Xe MTB SPD 27.5,SPORTBIKE_A,2025,2,2025-02,67.0,147220833.0,15
Xe MTB SPD 27.5,SPORTBIKE_A,2025,3,2025-03,249.0,666316114.0,83
Xe MTB SPD 27.5,SPORTBIKE_A,2026,2,2026-02,1.0,4527778.0,1
Xe Neo 20-02,KIDBIKE_1,2025,2,2025-02,64.0,80130555.0,8
Xe Neo 20-02,KIDBIKE_1,2025,3,2025-03,283.0,297150000.0,22
Xe Neo 20-02,KIDBIKE_1,2026,1,2026-01,155.0,172222205.0,19
Xe Neo 20-02,KIDBIKE_1,2026,2,2026-02,3.0,3931665.0,1
Xe Neo 20-02 Bubble,KIDBIKE_1,2026,1,2026-01,28.0,36622493.0,17
Xe Neo 20-02 Bubble,KIDBIKE_1,2026,2,2026-02,37.0,49126385.0,14
Xe Neo 20-03,KIDBIKE_1,2025,1,2025-01,7.0,10929723.0,3
Xe Neo 20-03,KIDBIKE_1,2025,3,2025-03,62.0,65100000.0,3
Xe Neo 2004,KIDBIKE_1,2025,1,2025-01,16.0,27574444.0,5
Xe Neo 2004,KIDBIKE_1,2025,2,2025-02,10.0,11950556.0,6
Xe Neo 2004,KIDBIKE_1,2025,3,2025-03,37.0,41002779.0,14
Xe Neo 2004,KIDBIKE_1,2026,1,2026-01,63.0,80791662.0,7
Xe Neo 2004,KIDBIKE_1,2026,2,2026-02,18.0,24210545.0,4
Xe New 24,CITYBIKE_P,2025,1,2025-01,62.0,101029720.0,12
Xe New 24,CITYBIKE_P,2025,2,2025-02,574.0,684003028.0,91
Xe New 24,CITYBIKE_P,2025,3,2025-03,1650.0,1886516192.0,223
Xe New 24,CITYBIKE_P,2026,1,2026-01,985.0,1519854461.0,168
Xe New 24,CITYBIKE_P,2026,2,2026-02,1188.0,1836393332.0,180
Xe New 26,CITYBIKE_P,2025,1,2025-01,301.0,490937474.0,19
Xe New 26,CITYBIKE_P,2025,2,2025-02,806.0,1020505701.0,106
Xe New 26,CITYBIKE_P,2025,3,2025-03,2495.0,3083663955.0,294
Xe New 26,CITYBIKE_P,2026,1,2026-01,1509.0,2506291381.0,181
Xe New 26,CITYBIKE_P,2026,2,2026-02,1473.0,2406021786.0,205
Xe Nữ,CITYBIKE_P,2025,1,2025-01,37.0,56116667.0,2
Xe Nữ,CITYBIKE_P,2025,2,2025-02,187.0,243533332.0,26
Xe Nữ,CITYBIKE_P,2025,3,2025-03,135.0,175500000.0,30
Xe Nữ,CITYBIKE_P,2026,1,2026-01,451.0,697360911.0,61
Xe Nữ,CITYBIKE_P,2026,2,2026-02,311.0,481067425.0,43
Xe Puppy 20,KIDBIKE_1,2025,1,2025-01,29.0,33130550.0,5
Xe Puppy 20,KIDBIKE_1,2025,2,2025-02,278.0,292972220.0,60
Xe Puppy 20,KIDBIKE_1,2025,3,2025-03,871.0,977684702.0,174
Xe Puppy 20,KIDBIKE_1,2026,1,2026-01,816.0,1038144192.0,158
Xe Puppy 20,KIDBIKE_1,2026,2,2026-02,768.0,995112674.0,162
Xe Road RPD 700C,SPORTBIKE_A,2025,2,2025-02,44.0,94600000.0,12
Xe Road RPD 700C,SPORTBIKE_A,2025,3,2025-03,223.0,621258725.0,60
Xe Road RPD 700C,SPORTBIKE_A,2026,1,2026-01,38.0,96984806.0,14
Xe Road RPD 700C,SPORTBIKE_A,2026,2,2026-02,19.0,53287585.0,3
Xe Robot 16,KIDBIKE_2,2025,1,2025-01,11.0,12469722.0,6
Xe Robot 16,KIDBIKE_2,2025,2,2025-02,34.0,22068889.0,10
Xe Robot 16,KIDBIKE_2,2025,3,2025-03,124.0,79107499.0,37
Xe Robot 16,KIDBIKE_2,2026,1,2026-01,83.0,80119974.0,31
Xe Robot 16,KIDBIKE_2,2026,2,2026-02,94.0,90364936.0,36
Xe Spaceboy 12,KIDBIKE_2,2025,1,2025-01,1.0,470000.0,1
Xe Spaceboy 12,KIDBIKE_2,2025,2,2025-02,44.0,30278423.0,12
