group_code,group_name,so_don,tong_sl,tong_dt,so_dai_ly,so_sku,so_tinh,gia_tb,gia_min,gia_max,ty_trong_pct,ty_trong_sl_pct
CITYBIKE_P,Xe phổ thông,1405,26572.0,38448730390.0,654,65,71,1435217.925395074,1086111.0,2798611.0,70.23,68.06
KIDBIKE_1,Xe trẻ em nhóm 1,819,6279.0,7757837954.0,435,32,60,1224588.154954658,750000.0,2407407.0,14.17,16.08
SPORTBIKE_S,Xe thể thao thép,319,1815.0,3308695836.0,187,34,42,1745637.9015598884,1200000.0,4157407.0,6.04,4.65
KIDBIKE_2,Xe trẻ em nhóm 2,465,3504.0,2783520612.0,236,13,45,790641.4582684671,470000.0,1472222.22,5.08,8.97
SPORTBIKE_A,Xe thể thao nhôm,197,874.0,2444578494.0,121,17,40,2702810.616926714,1600000.0,7490740.74,4.47,2.24
