group_code,rev_2025,rev_q1_2025,rev_q1_2026,sl_2025,sl_q1_2026,market_share_pct,sl_share_pct,yoy_pct,bcg_label,group_name
CITYBIKE_P,16956890927.0,16956890927.0,21491839463.0,13264.0,13308.0,62.81,64.23,26.7,Stars,Xe phổ thông
KIDBIKE_1,4014789308.0,4014789308.0,3743048646.0,3362.0,2917.0,14.87,16.28,-6.8,Stars,Xe trẻ em nhóm 1
KIDBIKE_2,1122012912.0,1122012912.0,1661507700.0,1707.0,1797.0,4.16,8.27,48.1,Question Marks,Xe trẻ em nhóm 2
SPORTBIKE_A,2289778325.0,2289778325.0,154800169.0,816.0,58.0,8.48,3.95,-93.2,Dogs,Xe thể thao nhôm
SPORTBIKE_S,2613695555.0,2613695555.0,695000281.0,1502.0,313.0,9.68,7.27,-73.4,Cash Cows,Xe thể thao thép
