group_code,group_name,du_bao_q2,lower_80,upper_80,q1_2026_actual,qoq_est_pct
CITYBIKE_P,Xe phổ thông,455909236616.1906,433850689455.5311,478688910361.0515,21491839463.0,2021.3
KIDBIKE_1,Xe trẻ em nhóm 1,99086390759.60051,97229438299.97726,101006723393.79088,3743048646.0,2547.2
KIDBIKE_2,Xe trẻ em nhóm 2,30319052518.005684,29279112574.353428,31413446036.511635,1661507700.0,1724.8
SPORTBIKE_A,Xe thể thao nhôm,4854451008.260679,4036832566.0770345,5801715690.2545395,154800169.0,3035.9
SPORTBIKE_S,Xe thể thao thép,16960985405.36951,15301558799.011114,18771563054.58583,695000281.0,2340.4
