group_code,05-26,05-27,219-05-26,Café/nâu,Cam,Coban,Ghi,HP,Hồng,Kem,Ngọc,Trắng,Tím,Xanh Santorini,Xanh Tím,Xanh dương,Xanh mint,Xanh nước biển,Đen,Đỏ tươi,Đỏ đun,16-04,Tem cam,Tem đỏ,Vàng,Xanh,chanh,trời,Đỏ,BLACKPINK,bóng,cam,mờ,rêu,trắng,tím,vàng,xanh,đen
CITYBIKE_P,484.0,248.0,941.0,2431.0,337.0,1087.0,2454.0,150.0,597.0,6177.0,1121.0,2467.0,453.0,547.0,709.0,663.0,1405.0,2.0,2801.0,701.0,797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIDBIKE_1,0.0,0.0,0.0,0.0,0.0,123.0,440.0,0.0,1469.0,702.0,0.0,435.0,52.0,0.0,0.0,342.0,0.0,0.0,928.0,189.0,0.0,9.0,20.0,37.0,280.0,843.0,30.0,3.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIDBIKE_2,0.0,0.0,0.0,383.0,173.0,0.0,0.0,0.0,1337.0,154.0,0.0,0.0,0.0,0.0,0.0,1457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPORTBIKE_A,0.0,0.0,0.0,0.0,27.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPORTBIKE_S,0.0,0.0,0.0,0.0,50.0,0.0,72.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,165.0,0.0,0.0,358.0,0.0,46.0,0.0,101.0,78.0,0.0,218.0,0.0,5.0,107.0,9.0,45.0,16.0,85.0,53.0,16.0,25.0,1.0,131.0,150.0
