segment,so_dai_ly,tong_dt,tong_sl,dt_tb,recency_tb,so_don_tb,clv_tb,ty_trong_dai_ly_pct,ty_trong_dt_pct
Champions,126,32424326283.0,21227.0,257335922.8809524,8.674603174603174,5.119047619047619,1835241090.6746032,20.3,50.4
Loyal,116,9898205679.0,6003.0,85329359.30172414,26.974137931034484,2.0258620689655173,10016903953.862068,18.7,15.39
Nguy cơ rời bỏ,69,8866076117.0,6735.0,128493856.76811594,340.3768115942029,3.0,9059800210.492754,11.1,13.78
Trung bình,129,4978547332.0,3385.0,38593390.170542635,154.53488372093022,1.1007751937984496,11742036086.705427,20.8,7.74
Có tiềm năng,30,3320111040.0,2601.0,110670368.0,216.86666666666667,3.533333333333333,6460345268.4,4.8,5.16
Đã mất,96,2599344370.0,2044.0,27076503.854166668,377.40625,1.0,9882923906.770834,15.5,4.04
Ngủ đông,48,1746143717.0,1394.0,36377994.104166664,342.7708333333333,1.25,8947535325.041666,7.7,2.71
Không thể mất,6,495308851.0,402.0,82551475.16666667,362.8333333333333,3.0,2650088419.1666665,1.0,0.77
