province_name,region,group_code,group_name,tong_sl,tong_dt,so_don,so_dai_ly
Vĩnh Yên,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,4.0,6578500.0,2,2
Vĩnh Yên,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,1.0,2150000.0,1,1
Vĩnh Yên,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,1.0,500000.0,1,1
phố số 6 - Thị trấn Diêm Điền - Huyện Thái Thụy - Thái Bình.,Miền Bắc,CITYBIKE_P,Xe phổ thông,77.0,91550000.0,2,1
phố số 6 - Thị trấn Diêm Điền - Huyện Thái Thụy - Thái Bình.,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,11.0,12300000.0,2,1
phố số 6 - Thị trấn Diêm Điền - Huyện Thái Thụy - Thái Bình.,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,4.0,10526430.0,2,1
phố số 6 - Thị trấn Diêm Điền - Huyện Thái Thụy - Thái Bình.,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,2.0,1000000.0,1,1
Điện Biên,Miền Bắc,CITYBIKE_P,Xe phổ thông,19.0,30192214.0,3,3
Điện Biên,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,10.0,12146664.0,2,2
Điện Biên,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,5.0,6700000.0,1,1
Điện Biên,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,2.0,4300000.0,1,1
Đà Nẵng,Miền Trung,CITYBIKE_P,Xe phổ thông,216.0,315314414.0,17,9
Đà Nẵng,Miền Trung,KIDBIKE_1,Xe trẻ em nhóm 1,29.0,35146195.0,8,4
Đà Nẵng,Miền Trung,SPORTBIKE_S,Xe thể thao thép,11.0,17515552.0,5,4
Đà Nẵng,Miền Trung,SPORTBIKE_A,Xe thể thao nhôm,2.0,5328518.0,2,1
Đà Nẵng,Miền Trung,KIDBIKE_2,Xe trẻ em nhóm 2,1.0,943888.0,1,1
Đường Nguyễn Trải - P Ba Đình TP Thanh Hoá,Miền Bắc,CITYBIKE_P,Xe phổ thông,161.0,195790500.0,4,1
Đường Nguyễn Trải - P Ba Đình TP Thanh Hoá,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,24.0,30400000.0,2,1
Đường Nguyễn Trải - P Ba Đình TP Thanh Hoá,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,6.0,6020000.0,2,1
Đường Nguyễn Trải - P Ba Đình TP Thanh Hoá,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,5.0,2350000.0,1,1
Đường Trang Quan - Xã An Đồng - Huyện An Dương - Hải Phòng.,Miền Bắc,CITYBIKE_P,Xe phổ thông,208.0,352444443.0,3,1
Đắk Lắk,Miền Trung,CITYBIKE_P,Xe phổ thông,2.0,4983333.0,1,1
Đồng Hới,Miền Bắc,CITYBIKE_P,Xe phổ thông,157.0,256201047.0,3,1
Đồng Hới,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,15.0,20071753.0,2,1
