grain,fiscal_year,fiscal_month,fiscal_quarter,ym,group_code,group_name,region,revenue,quantity,n_orders,n_customers,period_label,mom_revenue_pct,yoy_revenue_pct,revenue_share_pct,cum_revenue_ytd,province_name,revenue_pct_province,revenue_pct_region,revenue_pct_national,rank_in_region,product_code,product_name,line_name,color,revenue_2025,quantity_2025,n_orders_2025,revenue_2026,quantity_2026,n_orders_2026,revenue_2026_ann,yoy_revenue_pct_ann,avg_unit_price,revenue_rank,pareto_cum_pct,pareto_class,revenue_share_in_group_pct,bcg_quadrant,customer_code,customer_name,cohort_month,first_order_date,last_order_q1_2025,recency_days,avg_order_value,n_product_groups,trend_slope,groups_bought,churn_label,rfm_r,rfm_f,rfm_m,rfm_segment,churn_prob,churn_split,churn_priority,roc_auc_test,n_orders_q1_2026,revenue_q1_2026,ds,yhat,yhat_lower,yhat_upper,y_actual,split,is_future,mae_test,mape_test_pct
forecast_daily,2025.0,3.0,,2025-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-13,112936805.83589551,26081239.23802927,203439130.4015583,35904816.0,train,0.0,22434397.0,200.76
forecast_daily,2025.0,3.0,,2025-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-14,45941211.00657196,0.0,139317048.8459912,5200000.0,train,0.0,22434397.0,200.76
forecast_daily,2025.0,3.0,,2025-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-17,55190992.20997316,0.0,143509838.52585694,139712221.0,train,0.0,22434397.0,200.76
forecast_daily,2025.0,3.0,,2025-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-18,71525235.23273964,0.0,162173158.56119248,21458203.0,train,0.0,22434397.0,200.76
forecast_daily,2025.0,3.0,,2025-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-19,68739070.59775063,0.0,165122531.1776,79056165.0,train,0.0,22434397.0,200.76
forecast_daily,2025.0,3.0,,2025-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-20,111793711.00168562,25805764.78187894,200284718.2295539,98437000.0,train,0.0,22434397.0,200.76
forecast_daily,2025.0,3.0,,2025-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-21,45474850.873196624,0.0,136908039.82899666,56483500.0,train,0.0,22434397.0,200.76
forecast_daily,2025.0,3.0,,2025-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-22,51472795.50120477,0.0,142519507.217336,99934000.0,train,0.0,22434397.0,200.76
forecast_daily,2025.0,3.0,,2025-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-24,54625804.66807982,0.0,139870133.436711,193300000.0,train,0.0,22434397.0,200.76
forecast_daily,2025.0,3.0,,2025-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-25,70790639.53493808,0.0,165085036.42674023,258442869.0,train,0.0,22434397.0,200.76
forecast_daily,2025.0,3.0,,2025-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-26,68031034.2239783,0.0,155007834.5475041,79874606.0,train,0.0,22434397.0,200.76
forecast_daily,2025.0,3.0,,2025-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-27,110638848.64001177,28118478.070858475,205994281.93643034,151584445.0,train,0.0,22434397.0,200.76
forecast_daily,2025.0,3.0,,2025-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-28,45003718.244609885,0.0,135487782.620706,218299480.0,train,0.0,22434397.0,200.76
forecast_daily,2025.0,3.0,,2025-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-29,50937976.50967792,0.0,143286175.69328094,34493000.0,train,0.0,22434397.0,200.76
forecast_daily,2025.0,3.0,,2025-03,SPORTBIKE_S,Thể thao thép,,,,,,T3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-31,54054936.86349675,0.0,144504880.53831208,53651000.0,train,0.0,22434397.0,200.76
forecast_daily,2026.0,1.0,,2026-01,SPORTBIKE_S,Thể thao thép,,,,,,T1/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,37338414.012561664,0.0,126619602.08559315,15735554.0,train,0.0,22434397.0,200.76
forecast_daily,2026.0,1.0,,2026-01,SPORTBIKE_S,Thể thao thép,,,,,,T1/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-15,58196014.04483677,0.0,141258346.7096538,49764817.0,train,0.0,22434397.0,200.76
forecast_daily,2026.0,1.0,,2026-01,SPORTBIKE_S,Thể thao thép,,,,,,T1/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-16,23639415.975392856,0.0,112465586.35916774,21877776.0,train,0.0,22434397.0,200.76
forecast_daily,2026.0,1.0,,2026-01,SPORTBIKE_S,Thể thao thép,,,,,,T1/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-17,26719773.77231022,0.0,119114213.95767574,5460000.0,train,0.0,22434397.0,200.76
forecast_daily,2026.0,1.0,,2026-01,SPORTBIKE_S,Thể thao thép,,,,,,T1/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-20,36593118.04811499,0.0,117592574.91189921,10800000.0,train,0.0,22434397.0,200.76
forecast_daily,2026.0,1.0,,2026-01,SPORTBIKE_S,Thể thao thép,,,,,,T1/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-22,57030898.76388678,0.0,145370034.1283321,50467758.0,train,0.0,22434397.0,200.76
forecast_daily,2026.0,1.0,,2026-01,SPORTBIKE_S,Thể thao thép,,,,,,T1/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-23,23165434.95372529,0.0,106625126.52391072,19905928.0,train,0.0,22434397.0,200.76
forecast_daily,2026.0,1.0,,2026-01,SPORTBIKE_S,Thể thao thép,,,,,,T1/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24,26183231.866994336,0.0,110403495.84089893,97492025.0,train,0.0,22434397.0,200.76
forecast_daily,2026.0,1.0,,2026-01,SPORTBIKE_S,Thể thao thép,,,,,,T1/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-26,27707412.605966087,0.0,122537861.87915443,11753330.0,train,0.0,22434397.0,200.76
forecast_daily,2026.0,1.0,,2026-01,SPORTBIKE_S,Thể thao thép,,,,,,T1/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-28,34407874.45215455,0.0,126424686.337501,72815531.0,train,0.0,22434397.0,200.76
forecast_daily,2026.0,1.0,,2026-01,SPORTBIKE_S,Thể thao thép,,,,,,T1/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-29,55877216.42273751,0.0,155432525.15941593,31069990.0,train,0.0,22434397.0,200.76
forecast_daily,2026.0,1.0,,2026-01,SPORTBIKE_S,Thể thao thép,,,,,,T1/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-30,22696133.492319528,0.0,120821732.65440348,23277771.0,train,0.0,22434397.0,200.76
forecast_daily,2026.0,1.0,,2026-01,SPORTBIKE_S,Thể thao thép,,,,,,T1/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-31,25652019.41316261,0.0,112717516.19808874,33005544.0,train,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-01,2121294964.2835054,2028694653.4480307,2208615016.684505,0.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-02,27143641.918252952,0.0,108892794.57820344,0.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-03,35124436.987537906,0.0,127395558.57444045,4157407.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-04,33705742.94047586,0.0,125798799.02717957,9770000.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-05,54735338.55784054,0.0,141276668.4207475,34726111.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-06,22231661.862388458,0.0,117026529.67120816,0.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-07,25126305.518782336,0.0,110607621.3214868,20682592.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-08,2077759047.7620716,1984357008.3679457,2164303789.962427,0.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-09,26585773.669498973,0.0,113298185.92108698,20541204.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-10,34401520.78590814,0.0,125327146.01615395,6315000.0,test,0.0,22434397.0,200.76
forecast_daily,2026.0,2.0,,2026-02,SPORTBIKE_S,Thể thao thép,,,,,,T2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-11,33011045.4651519,0.0,123394600.72118692,11747222.0,test,0.0,22434397.0,200.76
